识别日期,name,code,continuous_limit,limit_time,reason,order_amount,open_count
2025-04-28,东贝集团,601956,4,09:25,机器人,,0
2025-04-28,华银电力,600744,3,09:25,绿色电力,,0
2025-04-28,茂业商业,600828,3,09:32,消费,,0
2025-04-28,鸿博股份,2229,2,09:25,业绩增长,,0
2025-04-28,中电鑫龙,2298,2,09:30,绿色电力,,0
2025-04-28,华电辽能,600396,2,09:30,绿色电力,,0
2025-04-28,天娱数科,2354,2,11:28,人工智能,,0
2025-04-28,上海物贸,600822,2,13:21,物流,,0
2025-04-28,华电能源,600726,2,14:34,绿色电力,,0
2025-04-28,渝三峡A,565,2,14:44,业绩增长,,0
2025-04-28,珀莱雅,603605,2,14:49,业绩增长,,0
2025-04-28,亚泰实业,961,1,14:53,化工,,0
