序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002490,山东墨龙,10.046948432922363,11.72,1099410624,6348981840.0,9350783248.0,17.388851165771484,117840486,092500,093933,2,7/4,3,专用设备
2,600759,洲际油气,9.986684799194336,8.26,5433027840,34226844542.8,34270816652.8,15.881464004516602,559108653,092501,134234,2,7/5,3,油气开采
3,600871,石化油服,10.051546096801758,4.27,5116237568,57845742738.77,80946585395.2,9.231719017028809,10787625,092501,150000,2,7/4,3,油服工程
4,603318,水发燃气,10.0,10.67,1758745040,4898286759.08,4898286801.76,36.56828308105469,22636042,092502,141435,6,4/4,4,燃气Ⅱ
18,600108,亚盛集团,9.979209899902344,5.29,1797908336,10299180990.09,10299180984.8,18.67259979248047,96367501,095902,095932,1,4/4,4,种植业
42,002207,准油股份,10.029282569885254,15.03,1696144288,3920002857.0,3938692331.3399997,46.348697662353516,11132721,142630,144430,3,7/4,3,油服工程
