序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
4,600370,三房巷,9.89011001586914,3.0,500375600,11690042151.0,11690042160.0,4.28670597076416,54804750,093002,093008,1,3/3,3,化学纤维
5,600227,赤天化,10.068650245666504,4.81,2089693216,6145255052.429999,8122780140.799999,34.47534942626953,28707494,093130,144354,5,7/4,2,农化制品
9,600683,京投发展,10.045661926269531,9.64,230542787,7141096035.080001,7141096064.0,3.2924816608428955,124793521,093454,093454,0,2/2,2,房地产开
15,603929,亚翔集成,9.997870445251465,154.91,1410204032,33051597600.0,33051597600.0,4.3436102867126465,181178553,094908,101502,1,2/2,2,专业工程
39,000890,法尔胜,10.009016990661621,12.2,1531178816,5117790761.2,5117948409.599999,31.123615264892578,2543700,140833,145554,4,16/9,3,环保设备
43,603248,锡华科技,10.0,31.02,1179755408,2149962636.36,14269200000.0,57.86622619628906,54907664,144621,144715,1,2/2,2,风电设备
