序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002980,华盛昌,10.00941276550293,35.06,1497550880,3554731436.6400003,6640404669.6,42.7731819152832,7913743,092500,145154,11,3/3,3,电网设备
2,002490,山东墨龙,10.020661354064941,10.65,44869515,5769339300.0,8497085460.0,0.7777236104011536,421451385,092500,092500,0,6/3,2,专用设备
3,002207,准油股份,9.98389720916748,13.66,48480706,3562690554.0,3579676463.48,1.360789179801941,233120194,092500,092500,0,6/3,2,油服工程
4,000554,泰山石油,10.040567398071289,10.85,239850994,3934787187.45,5216607435.2,6.098735332489014,173262565,092500,093115,1,6/3,2,炼化及贸
5,601975,招商南油,9.955751419067383,4.97,1696385760,23261313049.66,23261312542.719997,7.3048095703125,558431486,092500,094037,2,6/3,2,航运港口
7,600759,洲际油气,9.956075668334961,7.51,229070643,31119080207.8,31159059692.8,0.7361099123954773,1835516223,092501,092501,0,6/4,2,油气开采
8,600722,金牛化工,9.980620384216309,11.35,114871307,7721628322.599999,7721628368.0,1.4876564741134644,199852888,092502,092502,0,12/6,2,化学原料
9,600871,石化油服,9.915014266967773,3.88,177850773,52562407921.88,73553337548.8,0.3383611738681793,470246579,092502,092502,0,6/3,2,油服工程
10,600714,金瑞矿业,10.020242691040039,21.74,579395968,6264952175.0199995,6264952153.28,9.248826026916504,9987356,092502,093341,2,6/3,2,化学原料
11,603318,水发燃气,9.977324485778809,9.7,135289227,4452987962.799999,4452988001.599999,3.0381674766540527,237361492,092503,092503,0,3/3,3,燃气Ⅱ
12,000968,蓝焰控股,10.042283058166504,10.41,924523296,10071702690.6,10071702648.960001,9.217134475708008,80388716,093000,095012,9,6/3,2,油气开采
14,603619,中曼石油,10.002500534057617,43.99,670895520,20338268899.39,20338269031.36,3.2994937896728516,259158594,093019,093246,2,6/3,2,油服工程
15,002828,贝肯能源,10.01344108581543,16.37,400197824,3168609530.75,3290167012.0,12.727256774902344,60275977,093027,093312,3,6/3,2,油服工程
17,301302,华如科技,19.986541748046875,35.66,944418720,4956383400.0,5558145899.999999,19.083974838256836,129603595,093115,095254,1,2/2,2,军工电子
18,600108,亚盛集团,10.068650245666504,4.81,2249277600,9364661732.009998,9364661727.199999,24.091449737548828,22404499,093155,144540,15,3/3,3,种植业
20,603353,和顺石油,9.991368293762207,50.97,981540688,8686205460.0,8762048820.0,11.463383674621582,29876575,093208,102308,9,3/3,3,炼化及贸
22,600339,中油工程,10.085836410522461,5.13,604490496,28641546526.23,28641546777.6,2.1351609230041504,203106390,093340,093340,0,6/3,2,油服工程
28,600968,海油发展,9.920635223388672,5.54,1428188864,56314677262.46,56314676869.12,2.568403959274292,181329141,094313,094702,3,2/2,2,油服工程
32,300164,通源石油,20.022123336791992,21.7,3082772000,12655673882.6,12769552140.8,24.77775001525879,242089778,095139,095339,2,6/3,2,油服工程
33,601808,中海油服,10.021552085876465,20.42,2301638320,60452756560.00001,97435907333.12001,3.915532112121582,290073737,095338,095338,0,6/3,2,油服工程
34,600026,中远海能,9.982332229614258,24.9,3256713344,86521932235.5,136083999513.59999,3.8331522941589355,458159726,095421,095603,2,8/4,2,航运港口
35,002040,南 京 港,10.025062561035156,13.17,1343796848,6401613610.65,6426261884.64,21.50303840637207,5620560,095433,145609,8,2/2,2,航运港口
36,002629,仁智股份,10.040705680847168,8.11,1019186096,3432916367.4999995,3455654779.9999995,30.251022338867188,4904117,095545,145400,12,2/2,2,油服工程
37,002554,惠博普,10.085836410522461,5.13,1454130368,6840703793.25,6841984010.4,21.629474639892578,22364111,095939,142654,15,6/3,2,油服工程
40,600688,上海石化,10.028653144836426,3.84,2083040208,28142643840.0,40483651584.0,7.516940116882324,22789632,100113,143328,14,2/2,2,炼化及贸
45,600583,海油工程,9.96216869354248,8.72,3348724176,38554213856.0,38554213437.44,8.800397872924805,22909663,103030,145503,15,2/2,2,油服工程
46,300191,潜能恒信,20.009044647216797,53.08,2207018304,11741030600.0,16985600000.0,19.438480377197266,100919358,103254,131424,10,6/3,2,油服工程
47,601857,中国石油,10.041841506958008,13.15,11760288000,2129275323306.7,2406725863014.4,0.56661057472229,1001281962,103935,105920,1,2/2,2,炼化及贸
48,920088,科力股份,30.000001907348633,89.18,894502320,2834256155.6400003,7854216370.000001,33.484375,79217791,103936,103936,0,2/2,2,油服工程
50,600938,中国海油,10.010136604309082,43.41,10837477376,129795899999.99998,2063275305223.68,8.47091007232666,235157048,110401,143258,13,2/2,2,油气开采
53,603727,博迈科,9.994952201843262,21.79,923878320,6138663045.83,6138663111.2,15.29049301147461,9472113,111210,144358,11,6/3,2,油服工程
55,601872,招商轮船,10.0223970413208,19.65,7281220608,158664681564.3,158664681446.4,4.700533866882324,56104719,112455,145255,6,8/5,2,航运港口
56,600256,广汇能源,10.046367645263672,7.12,6852319744,45511061103.68,45511061872.64,15.363350868225098,29832002,112655,145055,3,2/2,2,炼化及贸
60,600367,红星发展,10.021231651306152,25.91,2653755248,8342325145.62,8838701515.36,32.441123962402344,11505957,130131,145634,5,2/2,2,化学原料
62,000096,广聚能源,10.033166885375977,13.27,1267520928,6778952960.0,7006560000.0,19.212583541870117,6496992,130136,145312,3,2/2,2,炼化及贸
76,300157,新锦动力,20.02383804321289,10.07,2489133712,7127794044.24,7592152759.84,36.79111099243164,52744656,133233,133233,0,6/3,2,通用设备
78,301158,德石股份,20.0,37.44,1370843664,5485724936.639999,5629871894.4,26.444793701171875,29778390,133939,142406,8,2/2,2,专用设备
