序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002470,金正大,10.15625,2.82,82844406,9265813355.939999,9266598238.08,0.8940867185592651,240830256,092500,092500,0,6/4,3,农化制品
3,600078,澄星股份,10.029717445373535,14.81,657791824,9812704071.41,10023598515.84,6.7069010734558105,185109730,092501,093101,1,3/3,3,农化制品
7,002428,云南锗业,10.012391090393066,44.39,1760966816,28988251393.75,28991996800.0,6.091754913330078,387002629,093118,093118,0,2/2,2,小金属
8,001896,豫能控股,9.97280216217041,12.13,1211628960,18507727532.9,18507727508.64,6.763607978820801,274441334,093142,093248,1,6/6,6,电力
13,000899,赣能股份,10.024855613708496,13.28,669299616,12957000652.8,12957000652.8,5.301869869232178,181974498,093654,093654,0,2/2,2,电力
19,000890,法尔胜,10.013717651367188,8.02,687272000,3364318188.9199996,3364421823.3599997,21.23412322998047,32493030,094357,094357,0,4/4,4,环保设备
21,002378,章源钨业,10.01490306854248,36.91,3655133184,44111929729.78999,44344325978.24,8.392269134521484,111315761,094524,130539,1,6/4,2,小金属
25,001209,洪兴股份,10.011164665222168,29.56,541052384,2840557440.16,3887811603.2,19.565771102905273,488468358,095018,095018,0,2/2,2,服装家纺
58,000826,启迪环境,9.920635223388672,2.77,483564064,3947729096.43,3948228496.96,13.09230899810791,54429691,143439,143439,0,2/2,2,环境治理
